rest, updated, total, count1, pc1, count2, pc2, count3, pc3, count4, pc4, count5, pc5
y16s, 2025-07-10T19:17:40Z, 816, 57, 7, 29, 4, 57, 7, 121, 15, 552, 68
b6i9, 2025-07-10T19:01:28Z, 178, 18, 10, 9, 5, 8, 4, 28, 16, 115, 65
t6zm, 2025-07-10T19:13:44Z, 1143, 79, 7, 47, 4, 89, 8, 174, 15, 754, 66
s8ea, 2025-07-10T19:10:30Z, 1852, 125, 7, 54, 3, 162, 9, 298, 16, 1213, 66
oksi, 2025-07-10T19:08:14Z, 2441, 341, 14, 138, 6, 218, 9, 409, 17, 1335, 55
th8d, 2025-07-01T19:52:56Z, 2, 0, 0, 0, 0, 0, 0, 1, 50, 1, 50
upge, 2025-07-01T19:57:44Z, 31, 10, 32, 5, 16, 1, 3, 2, 6, 13, 42
s4lt, 2025-07-10T19:10:15Z, 4930, 395, 8, 235, 5, 514, 10, 1006, 20, 2780, 56
g3hv, 2025-07-08T19:04:57Z, 373, 107, 29, 29, 8, 57, 15, 53, 14, 127, 34
m4f7, 2025-07-01T19:27:25Z, 102, 10, 10, 5, 5, 7, 7, 18, 18, 62, 61
s3kp, 2025-07-10T19:11:51Z, 6850, 734, 11, 308, 5, 691, 10, 1283, 19, 3834, 56
s0wa, 2025-07-10T19:10:00Z, 1364, 65, 5, 24, 2, 73, 5, 169, 12, 1033, 76
d6k0, 2025-07-01T19:07:39Z, 294, 38, 13, 15, 5, 33, 11, 46, 16, 162, 55
x3wx, 2025-07-08T19:15:31Z, 470, 104, 22, 42, 9, 60, 13, 84, 18, 180, 38
ar6y, 2025-07-10T19:00:11Z, 411, 32, 8, 24, 6, 48, 12, 68, 17, 239, 58
k5te, 2025-07-08T19:04:53Z, 732, 268, 37, 57, 8, 84, 11, 71, 10, 252, 34
s7kn, 2025-07-08T19:09:55Z, 2325, 171, 7, 89, 4, 212, 9, 474, 20, 1379, 59
t0qo, 2025-07-10T19:11:03Z, 17762, 2083, 12, 918, 5, 1934, 11, 3648, 21, 9179, 52
xgcz, 2025-07-10T19:16:46Z, 2522, 196, 8, 101, 4, 208, 8, 479, 19, 1538, 61
irmi, 2025-07-01T19:19:48Z, 63, 3, 5, 4, 6, 9, 14, 6, 10, 41, 65
ki9u, 2025-07-01T19:23:58Z, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 100
s4ve, 2025-07-10T19:13:25Z, 7608, 1192, 16, 471, 6, 989, 13, 1595, 21, 3361, 44
m92a, 2025-07-07T19:06:02Z, 570, 250, 44, 59, 10, 60, 11, 57, 10, 144, 25
k9of, 2025-07-10T19:07:54Z, 2295, 520, 23, 166, 7, 282, 12, 344, 15, 983, 43
s5fk, 2025-07-01T19:40:07Z, 143, 17, 12, 8, 6, 23, 16, 18, 13, 77, 54
s3dj, 2025-07-10T19:10:15Z, 14528, 1951, 13, 801, 6, 1507, 10, 2904, 20, 7365, 51
s2an, 2025-07-06T19:11:58Z, 731, 63, 9, 28, 4, 66, 9, 127, 17, 447, 61
b41r, 2025-07-10T19:01:19Z, 5600, 303, 5, 155, 3, 338, 6, 749, 13, 4055, 72
g35l, 2025-07-10T19:05:08Z, 89, 17, 19, 3, 3, 15, 17, 17, 19, 37, 42
s3xz, 2025-07-10T19:12:24Z, 14005, 2535, 18, 916, 7, 1808, 13, 2532, 18, 6214, 44
z614, 2025-07-10T19:15:01Z, 3465, 354, 10, 138, 4, 285, 8, 649, 19, 2039, 59
c9m0, 2025-07-10T19:00:40Z, 2479, 876, 35, 243, 10, 318, 13, 320, 13, 722, 29
s2yh, 2025-07-10T19:11:10Z, 13387, 1434, 11, 584, 4, 1346, 10, 2582, 19, 7441, 56
tiz6, 2025-07-10T19:15:18Z, 741, 73, 10, 33, 4, 75, 10, 121, 16, 439, 59
olmz, 2025-07-01T19:27:01Z, 546, 66, 12, 29, 5, 59, 11, 89, 16, 303, 55
s3se, 2025-07-10T19:11:50Z, 2718, 270, 10, 138, 5, 284, 10, 550, 20, 1476, 54
zwpd, 2025-07-10T19:17:54Z, 1215, 170, 14, 62, 5, 149, 12, 253, 21, 581, 48
s8dn, 2025-07-10T19:13:49Z, 1931, 348, 18, 155, 8, 232, 12, 381, 20, 815, 42
vvfr, 2025-07-01T19:54:09Z, 1137, 365, 32, 82, 7, 154, 14, 187, 16, 349, 31
uf3u, 2025-07-10T19:16:38Z, 767, 48, 6, 29, 4, 56, 7, 107, 14, 527, 69
t2ml, 2025-07-10T19:15:05Z, 16740, 1352, 8, 699, 4, 1662, 10, 3394, 20, 9633, 58
xw7b, 2025-07-01T20:05:11Z, 20, 3, 15, 0, 0, 2, 10, 2, 10, 13, 65
w227, 2025-07-10T19:17:17Z, 3102, 524, 17, 232, 7, 326, 11, 541, 17, 1479, 48
a2ni, 2025-07-06T19:00:10Z, 183, 24, 13, 5, 3, 14, 8, 14, 8, 126, 69
s3wh, 2025-07-10T19:08:43Z, 224, 55, 25, 12, 5, 26, 12, 50, 22, 81, 36
o3ss, 2025-07-10T19:08:01Z, 575, 54, 9, 21, 4, 40, 7, 80, 14, 380, 66
s6so, 2025-07-10T19:11:33Z, 7373, 639, 9, 287, 4, 636, 9, 1259, 17, 4552, 62
mkxc, 2025-07-10T19:09:14Z, 62, 15, 24, 3, 5, 8, 13, 6, 10, 30, 48
gn0j, 2025-07-10T19:01:57Z, 92, 11, 12, 3, 3, 10, 11, 9, 10, 59, 64
m371, 2025-07-09T19:07:28Z, 176, 46, 26, 14, 8, 20, 11, 19, 11, 77, 44
